date,radiation,key,minutes,error,panel_size,correction_factor,conversion_factor,n_panels,total_volume
2020-01-20 11:00:00,184.65292747255663,4,90,4.190704736965825,937.2,3.6,2.7800000000000003e-07,80,0.05412349031443184
2020-01-20 12:00:00,161.93818599991445,4,90,4.010852904022649,937.2,3.6,2.7800000000000003e-07,80,0.04746558834170472
2020-01-20 13:00:00,146.68230510262615,4,90,4.183452551946557,937.2,3.6,2.7800000000000003e-07,80,0.04299394777101718
2020-01-20 14:00:00,89.23212618504178,4,90,4.07336382014456,937.2,3.6,2.7800000000000003e-07,80,0.026154766043609265
2020-01-20 15:00:00,26.90575605824814,4,90,3.826596417173069,937.2,3.6,2.7800000000000003e-07,80,0.00788632732420387
2020-01-20 16:00:00,0.12667119579993374,4,90,4.05347826559788,937.2,3.6,2.7800000000000003e-07,80,3.712850553108153e-05
2020-01-20 17:00:00,0.0,4,90,4.073176731586184,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 18:00:00,0.0,4,90,4.166337738196287,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 19:00:00,0.0,4,90,4.103094787381425,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 20:00:00,0.0,4,90,4.074190696666129,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 21:00:00,0.0,4,90,4.026230953222678,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 22:00:00,0.0,4,90,3.976901317789788,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-20 23:00:00,0.0,4,90,4.081635456734939,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-21 00:00:00,0.0,4,90,3.9806698885842167,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-21 01:00:00,0.0,4,90,3.9891792358031815,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-21 02:00:00,0.0,4,90,3.9690459237820783,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-21 03:00:00,0.0,4,90,3.8606943765859887,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-21 04:00:00,0.0,4,90,4.233833670616593,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-21 05:00:00,0.0,4,90,3.8534492859260654,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-21 06:00:00,0.0,4,90,4.241451135155787,937.2,3.6,2.7800000000000003e-07,80,0.0
2020-01-21 07:00:00,6.276614142257114,4,90,4.017033051044553,937.2,3.6,2.7800000000000003e-07,80,0.0018397339776070828
2020-01-21 08:00:00,62.26289788590551,4,90,3.9298081505896967,937.2,3.6,2.7800000000000003e-07,80,0.018249834415309245
2020-01-21 09:00:00,138.72320768933943,4,90,3.897403552290484,937.2,3.6,2.7800000000000003e-07,80,0.0406610622995769
